t	pi	freq
303	0	0
606	0.000286626	0.000143333
909	5.99982e-05	3e-05
1212	7.33306e-05	3.66667e-05
1515	7.99968e-05	4e-05
1818	1.99998e-05	1e-05
2121	2.66663e-05	1.33333e-05
2424	5.99982e-05	3e-05
2727	0	0
3030	3.33328e-05	1.66667e-05
3333	6.66664e-06	3.33333e-06
3636	0.000193315	9.66667e-05
3939	3.99992e-05	2e-05
4242	4.66656e-05	2.33333e-05
4545	0.000366599	0.000183333
4848	6.66664e-06	3.33333e-06
5151	3.33328e-05	1.66667e-05
5454	6.66664e-06	3.33333e-06
5757	9.3329e-05	4.66667e-05
6060	6.66664e-06	3.33333e-06
6363	0.000493212	0.000246667
6666	6.66664e-06	3.33333e-06
6969	0.000279961	0.00014
7272	0.000299955	0.00015
7575	1.33332e-05	6.66667e-06
7878	6.66664e-06	3.33333e-06
8181	0	0
8484	6.66664e-06	3.33333e-06
8787	0	0
9090	0.000239971	0.00012
9393	0.00039992	0.0002
9696	6.66664e-06	3.33333e-06
9999	9.3329e-05	4.66667e-05
10302	1.33332e-05	6.66667e-06
10605	0.00105944	0.00053
10908	0.000119993	6e-05
11211	8.66629e-05	4.33333e-05
11514	6.66644e-05	3.33333e-05
11817	1.99998e-05	1e-05
12120	0.000259966	0.00013
12423	1.33332e-05	6.66667e-06
12726	1.33332e-05	6.66667e-06
13029	7.99968e-05	4e-05
13332	0	0
13635	2.66663e-05	1.33333e-05
13938	6.66644e-05	3.33333e-05
14241	0	0
14544	0.000319949	0.00016
14847	0	0
15150	0	0
15453	3.33328e-05	1.66667e-05
15756	0	0
16059	0.000146656	7.33333e-05
16362	1.99998e-05	1e-05
16665	2.66663e-05	1.33333e-05
16968	0.000146656	7.33333e-05
17271	3.33328e-05	1.66667e-05
17574	6.66664e-06	3.33333e-06
17877	6.66664e-06	3.33333e-06
18180	8.66629e-05	4.33333e-05
18483	0	0
18786	6.66664e-06	3.33333e-06
19089	2.66663e-05	1.33333e-05
19392	0.000146656	7.33333e-05
19695	0.000119993	6e-05
19998	5.99982e-05	3e-05
20301	0	0
20604	9.3329e-05	4.66667e-05
20907	2.66663e-05	1.33333e-05
21210	7.33306e-05	3.66667e-05
21513	8.66629e-05	4.33333e-05
21816	7.33306e-05	3.66667e-05
22119	5.99982e-05	3e-05
22422	6.66664e-06	3.33333e-06
22725	9.3329e-05	4.66667e-05
23028	3.33328e-05	1.66667e-05
23331	6.66664e-06	3.33333e-06
23634	0.000153322	7.66667e-05
23937	4.66656e-05	2.33333e-05
24240	7.99968e-05	4e-05
24543	0	0
24846	0.000406584	0.000203333
25149	6.66664e-06	3.33333e-06
25452	8.66629e-05	4.33333e-05
25755	3.33328e-05	1.66667e-05
26058	0	0
26361	0	0
26664	0.000106661	5.33333e-05
26967	3.33328e-05	1.66667e-05
27270	1.99998e-05	1e-05
