t	pi	freq
343	0	0
686	8.66629e-05	4.33333e-05
1029	0.000106661	5.33333e-05
1372	7.33306e-05	3.66667e-05
1715	7.33306e-05	3.66667e-05
2058	0	0
2401	8.66629e-05	4.33333e-05
2744	3.33328e-05	1.66667e-05
3087	0	0
3430	6.66664e-06	3.33333e-06
3773	6.66664e-06	3.33333e-06
4116	0.000126659	6.33333e-05
4459	3.33328e-05	1.66667e-05
4802	0.00030662	0.000153333
5145	0	0
5488	0.000393256	0.000196667
5831	4.66656e-05	2.33333e-05
6174	6.66664e-06	3.33333e-06
6517	6.66664e-06	3.33333e-06
6860	0.000366599	0.000183333
7203	3.99992e-05	2e-05
7546	1.33332e-05	6.66667e-06
7889	0.000133324	6.66667e-05
8232	0.000166653	8.33333e-05
8575	0.000633133	0.000316667
8918	9.9995e-05	5e-05
9261	5.33319e-05	2.66667e-05
9604	4.66656e-05	2.33333e-05
9947	0.00039992	0.0002
10290	5.99982e-05	3e-05
10633	1.33332e-05	6.66667e-06
10976	0.00079968	0.0004
11319	0	0
11662	0	0
12005	3.33328e-05	1.66667e-05
12348	4.66656e-05	2.33333e-05
12691	0	0
13034	1.99998e-05	1e-05
13377	0.00013999	7e-05
13720	0	0
14063	3.33328e-05	1.66667e-05
14406	1.99998e-05	1e-05
14749	3.33328e-05	1.66667e-05
15092	0.000239971	0.00012
15435	0.000113327	5.66667e-05
15778	2.66663e-05	1.33333e-05
16121	0	0
16464	6.66664e-06	3.33333e-06
16807	0	0
17150	1.33332e-05	6.66667e-06
17493	0	0
17836	4.66656e-05	2.33333e-05
18179	0.00013999	7e-05
18522	0	0
18865	0	0
19208	0.000493212	0.000246667
19551	2.66663e-05	1.33333e-05
19894	0.000313284	0.000156667
20237	3.99992e-05	2e-05
20580	0.000153322	7.66667e-05
20923	0	0
21266	0.000126659	6.33333e-05
21609	0	0
21952	0	0
22295	3.33328e-05	1.66667e-05
22638	0.000239971	0.00012
22981	7.33306e-05	3.66667e-05
23324	6.66664e-06	3.33333e-06
23667	2.66663e-05	1.33333e-05
24010	0	0
24353	6.66664e-06	3.33333e-06
24696	1.33332e-05	6.66667e-06
25039	8.66629e-05	4.33333e-05
25382	0	0
25725	7.33306e-05	3.66667e-05
26068	0.000266631	0.000133333
26411	1.99998e-05	1e-05
26754	1.33332e-05	6.66667e-06
27097	0.000159987	8e-05
