t	pi	freq
25	0	0
50	0	0
75	0	0
100	0.00019998	0.0001
125	0	0
150	0	0
175	0	0
200	0	0
225	0.00039992	0.0002
250	0	0
275	0	0
300	0.00019998	0.0001
325	0.00019998	0.0001
350	0	0
375	0	0
400	0.00019998	0.0001
425	0	0
450	0	0
475	0	0
500	0.00019998	0.0001
525	0	0
550	0	0
575	0.00079968	0.0004
600	0	0
625	0	0
650	0	0
675	0.00019998	0.0001
700	0	0
725	0.00059982	0.0003
750	0.00059982	0.0003
775	0	0
800	0.00019998	0.0001
825	0	0
850	0.00039992	0.0002
875	0	0
900	0	0
925	0.00179838	0.0009
950	0.00059982	0.0003
975	0.00019998	0.0001
1000	0	0
1025	0	0
1050	0	0
1075	0	0
1100	0.00039992	0.0002
1125	0	0
1150	0.00039992	0.0002
1175	0	0
1200	0	0
1225	0.00039992	0.0002
1250	0	0
1275	0	0
1300	0	0
1325	0	0
1350	0	0
1375	0	0
1400	0.00019998	0.0001
1425	0	0
1450	0	0
1475	0	0
1500	0.00019998	0.0001
1525	0	0
1550	0	0
1575	0.00039992	0.0002
1600	0	0
1625	0.00019998	0.0001
1650	0	0
1675	0	0
1700	0	0
1725	0	0
1750	0	0
1775	0	0
1800	0	0
1825	0	0
1850	0	0
1875	0	0
1900	0	0
1925	0	0
1950	0	0
1975	0	0
2000	0	0
2025	0	0
2050	0.00039992	0.0002
2075	0	0
2100	0	0
2125	0.00019998	0.0001
2150	0	0
2175	0	0
2200	0.00039992	0.0002
2225	0	0
2250	0	0
2275	0	0
2300	0.00059982	0.0003
2325	0	0
2350	0.00019998	0.0001
2375	0.00039992	0.0002
2400	0	0
2425	0.00039992	0.0002
2450	0	0
2475	0	0
2500	0.00019998	0.0001
2525	0	0
2550	0	0
2575	0	0
2600	0.00059982	0.0003
2625	0	0
2650	0	0
2675	0.00059982	0.0003
2700	0.00019998	0.0001
2725	0.00039992	0.0002
2750	0.00039992	0.0002
2775	0	0
2800	0.001998	0.001
2825	0	0
2850	0.00039992	0.0002
2875	0.00159872	0.0008
2900	0	0
2925	0	0
2950	0	0
2975	0	0
3000	0	0
3025	0	0
3050	0	0
3075	0	0
3100	0.00079968	0.0004
3125	0	0
3150	0	0
3175	0	0
3200	0	0
3225	0	0
3250	0.00039992	0.0002
3275	0	0
3300	0.00039992	0.0002
3325	0	0
3350	0.00059982	0.0003
3375	0	0
3400	0	0
3425	0	0
3450	0	0
3475	0	0
3500	0.00019998	0.0001
3525	0	0
3550	0	0
3575	0	0
3600	0	0
3625	0	0
3650	0	0
3675	0	0
3700	0	0
3725	0	0
3750	0	0
3775	0	0
3800	0	0
3825	0	0
3850	0	0
3875	0.00059982	0.0003
3900	0	0
3925	0	0
3950	0	0
3975	0	0
4000	0.00019998	0.0001
4025	0	0
4050	0.00059982	0.0003
4075	0	0
4100	0.00039992	0.0002
4125	0	0
4150	0	0
4175	0.00019998	0.0001
4200	0.0009995	0.0005
4225	0	0
4250	0.00019998	0.0001
4275	0.00019998	0.0001
4300	0	0
4325	0	0
4350	0.00019998	0.0001
4375	0	0
4400	0.00079968	0.0004
4425	0	0
4450	0.00079968	0.0004
4475	0	0
4500	0	0
4525	0	0
4550	0	0
4575	0	0
4600	0	0
4625	0	0
4650	0	0
4675	0.001998	0.001
4700	0.00059982	0.0003
4725	0.00019998	0.0001
4750	0	0
4775	0	0
4800	0	0
4825	0.00059982	0.0003
4850	0	0
4875	0	0
4900	0	0
4925	0.00039992	0.0002
4950	0	0
4975	0.00079968	0.0004
5000	0	0
5025	0	0
5050	0.00079968	0.0004
5075	0	0
5100	0.00059982	0.0003
5125	0	0
5150	0	0
5175	0	0
5200	0.00019998	0.0001
5225	0.00019998	0.0001
5250	0	0
5275	0	0
5300	0.00019998	0.0001
5325	0	0
5350	0.00039992	0.0002
5375	0.00019998	0.0001
5400	0	0
5425	0	0
5450	0.00039992	0.0002
5475	0	0
5500	0	0
5525	0	0
5550	0	0
5575	0	0
5600	0	0
5625	0.00019998	0.0001
5650	0	0
5675	0.00079968	0.0004
5700	0	0
5725	0	0
5750	0	0
5775	0.00039992	0.0002
5800	0	0
5825	0.00019998	0.0001
5850	0	0
5875	0.00039992	0.0002
5900	0.0009995	0.0005
5925	0.00039992	0.0002
5950	0	0
5975	0	0
6000	0.00039992	0.0002
6025	0	0
6050	0.00039992	0.0002
6075	0	0
6100	0	0
6125	0	0
6150	0.00019998	0.0001
6175	0	0
6200	0	0
6225	0.00079968	0.0004
6250	0	0
6275	0	0
6300	0.00059982	0.0003
6325	0.00019998	0.0001
6350	0.00079968	0.0004
6375	0	0
6400	0	0
6425	0.00139902	0.0007
6450	0	0
6475	0.00059982	0.0003
6500	0.00039992	0.0002
6525	0.00119928	0.0006
6550	0	0
6575	0	0
6600	0	0
6625	0	0
6650	0.00019998	0.0001
6675	0	0
6700	0	0
6725	0	0
6750	0	0
6775	0.00019998	0.0001
6800	0	0
6825	0	0
6850	0	0
6875	0.0009995	0.0005
6900	0	0
6925	0	0
6950	0.00059982	0.0003
6975	0	0
7000	0.00039992	0.0002
7025	0	0
7050	0.00019998	0.0001
7075	0	0
7100	0	0
7125	0.00079968	0.0004
7150	0.00039992	0.0002
7175	0	0
7200	0	0
7225	0	0
7250	0.00059982	0.0003
7275	0	0
7300	0.00019998	0.0001
7325	0.00019998	0.0001
7350	0	0
7375	0.00019998	0.0001
7400	0	0
7425	0	0
7450	0	0
7475	0.00019998	0.0001
7500	0	0
7525	0	0
7550	0.00019998	0.0001
7575	0	0
7600	0.00039992	0.0002
7625	0	0
7650	0.00079968	0.0004
7675	0	0
7700	0	0
7725	0.00079968	0.0004
7750	0.00059982	0.0003
7775	0.00019998	0.0001
7800	0.00019998	0.0001
7825	0.00019998	0.0001
7850	0	0
7875	0	0
7900	0	0
7925	0	0
7950	0	0
7975	0	0
8000	0	0
8025	0	0
8050	0.00039992	0.0002
8075	0	0
8100	0.00019998	0.0001
8125	0	0
8150	0	0
8175	0.00079968	0.0004
8200	0	0
8225	0	0
8250	0	0
8275	0	0
8300	0	0
8325	0.00039992	0.0002
8350	0	0
8375	0	0
8400	0.00039992	0.0002
8425	0	0
8450	0.00039992	0.0002
8475	0	0
8500	0.00039992	0.0002
8525	0	0
8550	0	0
