t	pi	freq
20000	0	0
40000	0	0
60000	0.0832155	0.0435
80000	0.477866	0.6052
100000	0.0504584	0.0259
120000	0	0
140000	0.497848	0.5328
160000	0.408151	0.2857
180000	0.0105438	0.0053
200000	0.478988	0.3975
220000	0.468046	0.3736
240000	0	0
260000	0.0201919	0.0102
280000	0.0111373	0.0056
300000	0.00259662	0.9987
320000	0.5	0.5001
340000	0	0
360000	0.45089	0.3433
380000	0.104306	0.0552
400000	0.14248	0.9228
420000	0.00179838	0.9991
440000	0.00538542	0.9973
460000	0.495786	0.4541
480000	0.28365	0.1711
500000	0.397667	0.2738
520000	0	0
540000	0.462077	0.3623
560000	0.369337	0.7556
580000	0.352032	0.772
600000	0.031488	0.016
620000	0.0203878	0.0103
640000	0.061952	0.032
660000	0.0338083	0.0172
680000	0.001998	0.001
700000	0.00975198	0.9951
720000	0	1
740000	0.202162	0.8859
760000	0.00019998	0.9999
780000	0.257374	0.8483
800000	0.00677688	0.0034
820000	0.281539	0.1695
840000	0.40399	0.7191
860000	0.00039992	0.9998
880000	0.0246875	0.0125
900000	0	0
920000	0	0
940000	0.0089595	0.0045
960000	0.0150845	0.0076
980000	0.0225401	0.0114
1000000	0.00179838	0.0009
1020000	0	0
1040000	0.00319488	0.0016
1060000	0.487296	0.4203
1080000	0.0198	0.99
1100000	0.04856	0.9751
1120000	0.178398	0.901
1140000	0.445087	0.6657
1160000	0.0250774	0.9873
1180000	0.0164622	0.9917
1200000	0.0504584	0.9741
1220000	0.00119928	0.9994
1240000	0.493226	0.4418
1260000	0.313462	0.1946
1280000	0.224421	0.8712
1300000	0.00019998	0.9999
1320000	0.00079968	0.9996
1340000	0.00039992	0.9998
1360000	0.41062	0.2886
1380000	0.187476	0.8953
1400000	0.00139902	0.9993
1420000	0.0244925	0.9876
1440000	0.391422	0.733
1460000	0.00259662	0.0013
1480000	0.0190157	0.0096
1500000	0	0
1520000	0.165602	0.0911
1540000	0.084675	0.0443
1560000	0.0009995	0.0005
1580000	0.445484	0.3349
1600000	0.48808	0.5772
1620000	0.068851	0.0357
1640000	0.444689	0.3337
1660000	0.0437965	0.9776
1680000	0.440488	0.3275
1700000	0.075511	0.0393
1720000	0.00019998	0.0001
1740000	0.0272191	0.0138
1760000	0.0470384	0.0241
1780000	0.192986	0.1082
1800000	0.260568	0.154
1820000	0.375998	0.251
1840000	0.474507	0.3871
1860000	0.364071	0.2393
1880000	0.421829	0.3023
1900000	0.0009995	0.0005
1920000	0.423872	0.3049
1940000	0.406342	0.2836
1960000	0.0168555	0.0085
1980000	0.148375	0.0807
2000000	0.104306	0.0552
2020000	0.0779033	0.0406
2040000	0.0912112	0.0479
2060000	0.005982	0.003
2080000	0.340613	0.2177
2100000	0.48538	0.4145
2120000	0.401787	0.2784
2140000	0.0437965	0.9776
2160000	0.0180344	0.9909
2180000	0.491628	0.4353
2200000	0.341065	0.2181
2220000	0.3848	0.26
2240000	0.489284	0.5732
2260000	0.0190157	0.0096
2280000	0.001998	0.001
2300000	0.186526	0.1041
2320000	0.001998	0.001
2340000	0.019604	0.0099
2360000	0.468298	0.3741
2380000	0.078087	0.0407
2400000	0.0762478	0.0397
2420000	0	0
2440000	0.499657	0.5131
2460000	0.011335	0.0057
2480000	0	0
2500000	0.102346	0.0541
2520000	0.222934	0.1278
2540000	0.25542	0.1503
2560000	0.301676	0.8149
2580000	0.021758	0.989
2600000	0.04856	0.9751
2620000	0.0009995	0.9995
2640000	0.001998	0.999
2660000	0	1
2680000	0	1
2700000	0.175504	0.9028
2720000	0	1
2740000	0.0432232	0.9779
2760000	0.406255	0.7165
2780000	0.00039992	0.9998
2800000	0.00677688	0.9966
2820000	0.00478848	0.9976
2840000	0	1
2860000	0	1
2880000	0.00219758	0.9989
2900000	0.37719	0.7478
2920000	0.021758	0.989
2940000	0.309656	0.1915
2960000	0.106793	0.0566
2980000	0.355493	0.2312
3000000	0	0
3020000	0.333766	0.2117
3040000	0.124156	0.0665
3060000	0.003992	0.002
3080000	0.490003	0.5707
3100000	0.00618078	0.9969
3120000	0.0105438	0.9947
3140000	0.457017	0.6466
3160000	0.252333	0.8519
3180000	0	1
3200000	0.294688	0.8204
3220000	0.446405	0.6637
3240000	0.495354	0.5482
3260000	0.00737262	0.9963
3280000	0.0879496	0.9539
3300000	0.202008	0.886
3320000	0.0180344	0.9909
3340000	0.00776958	0.9961
3360000	0.261674	0.1548
3380000	0.00019998	0.0001
3400000	0.213627	0.1216
3420000	0.00059982	0.9997
3440000	0	1
3460000	0.0192118	0.9903
3480000	0.00179838	0.9991
3500000	0.13875	0.925
3520000	0.00339422	0.9983
3540000	0	1
3560000	0.319159	0.8007
3580000	0	1
3600000	0.00079968	0.9996
3620000	0.00359352	0.9982
3640000	0.124502	0.9333
3660000	0.130716	0.9297
3680000	0.238491	0.8616
3700000	0.48777	0.5782
3720000	0.278621	0.1673
3740000	0.00019998	0.9999
3760000	0.453792	0.652
3780000	0.435846	0.6791
3800000	0	0
3820000	0.147536	0.0802
3840000	0.0250774	0.0127
3860000	0	0
3880000	0	0
3900000	0.0125206	0.0063
3920000	0.431031	0.3143
3940000	0.286273	0.8269
3960000	0	1
3980000	0.00458942	0.9977
4000000	0.00179838	0.9991
4020000	0.493548	0.4432
4040000	0.0140992	0.0071
4060000	0.428709	0.3112
4080000	0.00458942	0.0023
4100000	0.0203878	0.0103
4120000	0.429537	0.6877
4140000	0.236752	0.8628
4160000	0.255979	0.1507
4180000	0.347538	0.2239
4200000	0.471344	0.6197
4220000	0	0
4240000	0.129856	0.0698
4260000	0	0
4280000	0.0326489	0.0166
4300000	0	0
4320000	0.279419	0.1679
4340000	0.103238	0.0546
4360000	0.0266355	0.0135
4380000	0.00039992	0.0002
4400000	0	1
4420000	0.0131129	0.9934
4440000	0	1
4460000	0.0146905	0.9926
4480000	0	1
4500000	0.457134	0.6464
4520000	0	0
4540000	0.0597027	0.0308
4560000	0.473825	0.6144
4580000	0.0127181	0.0064
4600000	0.076984	0.0401
4620000	0.0123231	0.9938
4640000	0.011335	0.9943
4660000	0.224866	0.1291
4680000	0.00059982	0.9997
4700000	0.280878	0.831
4720000	0.00379278	0.9981
4740000	0.172921	0.9044
4760000	0.418473	0.7019
4780000	0	1
4800000	0.0764319	0.0398
4820000	0.267165	0.8412
4840000	0	0
4860000	0.490284	0.5697
4880000	0.109802	0.9417
4900000	0.00019998	0.0001
4920000	0	0
4940000	0.327833	0.2066
4960000	0.483872	0.4102
4980000	0.00159872	0.0008
5000000	0.00359352	0.0018
5020000	0.00419118	0.0021
5040000	0.00079968	0.0004
5060000	0	0
5080000	0.00019998	0.0001
5100000	0.00259662	0.0013
5120000	0.00259662	0.0013
5140000	0.21935	0.1254
5160000	0.471963	0.3816
5180000	0.00319488	0.0016
5200000	0.00139902	0.0007
5220000	0	0
5240000	0.0336152	0.9829
5260000	0.00239712	0.9988
5280000	0.387852	0.7368
5300000	0.332495	0.7894
5320000	0.0610155	0.9685
5340000	0.00359352	0.9982
5360000	0.36532	0.7595
5380000	0.103416	0.0547
5400000	0.260706	0.1541
5420000	0	0
5440000	0.354308	0.7699
5460000	0.021171	0.9893
5480000	0.0009995	0.9995
5500000	0.118586	0.9367
5520000	0.131403	0.0707
5540000	0	0
5560000	0.380342	0.2554
5580000	0.205395	0.8838
5600000	0.0192118	0.9903
5620000	0.278887	0.8325
5640000	0.301802	0.1852
5660000	0.0248825	0.0126
5680000	0.203858	0.1152
5700000	0	0
5720000	0	0
5740000	0	0
5760000	0.00059982	0.0003
5780000	0.0460861	0.0236
5800000	0.28836	0.8253
5820000	0	0
5840000	0.233842	0.1352
5860000	0.00876128	0.0044
5880000	0.490116	0.5703
5900000	0.414219	0.7071
5920000	0.169678	0.0936
5940000	0.0802888	0.0419
5960000	0.0617648	0.9681
5980000	0	1
6000000	0.104662	0.9446
6020000	0.0324555	0.9835
6040000	0.453426	0.6526
6060000	0.21287	0.8789
6080000	0.498914	0.5233
6100000	0.0188195	0.0095
6120000	0	0
6140000	0.00578318	0.0029
6160000	0.114382	0.0609
6180000	0.00935582	0.0047
6200000	0.499688	0.5125
6220000	0.00159872	0.9992
6240000	0.412136	0.7096
6260000	0.0029955	0.9985
6280000	0.0029955	0.9985
6300000	0.0627005	0.9676
6320000	0.00419118	0.9979
6340000	0.0209753	0.9894
6360000	0.00059982	0.9997
6380000	0	1
6400000	0.152722	0.9167
6420000	0.00019998	0.9999
6440000	0.291988	0.8225
6460000	0.259182	0.847
6480000	0.0529203	0.9728
6500000	0.349519	0.7743
6520000	0.078087	0.9593
6540000	0.00119928	0.9994
6560000	0.0762478	0.9603
6580000	0.00079968	0.9996
6600000	0.00179838	0.9991
6620000	0.0105438	0.9947
6640000	0.140957	0.9237
6660000	0	1
6680000	0	1
6700000	0.00179838	0.9991
6720000	0.114031	0.9393
6740000	0.00359352	0.9982
6760000	0.15787	0.9136
6780000	0.0771679	0.0402
6800000	0.456782	0.353
6820000	0.431105	0.3144
6840000	0.383645	0.7412
6860000	0.199377	0.8877
6880000	0.339935	0.2171
6900000	0.113152	0.0602
6920000	0.311256	0.1928
6940000	0.499998	0.499
6960000	0.347869	0.7758
6980000	0.414302	0.293
7000000	0.00439032	0.0022
7020000	0	0
7040000	0.231942	0.1339
7060000	0.162158	0.911
7080000	0.49604	0.5445
7100000	0.431624	0.6849
7120000	0.255699	0.8495
7140000	0.0975161	0.9486
7160000	0	1
7180000	0.419198	0.299
7200000	0.489313	0.5731
7220000	0.00339422	0.9983
7240000	0.109626	0.9418
7260000	0.0252723	0.9872
7280000	0.00079968	0.9996
7300000	0.431624	0.6849
7320000	0.00419118	0.9979
7340000	0.204627	0.1157
7360000	0.499494	0.5159
7380000	0	1
7400000	0.00119928	0.9994
